time_min,day,hour,solar_gen_kw,load_kw,battery_soc_kwh,grid_import_kw,grid_export_kw,cost_cents,cloud_cover
9480,6,14.0,0.26015667344613,0.6830886868634649,4.5128415436245355,0.0,0.0,0.0,0.9399193898217597
9540,6,15.0,0.9587168654101309,0.7955732434476829,4.667613172963777,0.0,0.0,0.0,0.7288339212922343
9600,6,16.0,0.5636746681872585,0.534093550247596,4.695676285490797,0.0,0.0,0.0,0.7745301327250967
9660,6,17.0,0.49666863426255525,0.6078499802145028,4.578480856647031,0.0,0.0,0.0,0.616203951246463
9720,6,18.0,6.307170209725732e-17,3.4992335262123686,0.8899648540958327,0.0,0.0,0.0,0.8969960936636256
9780,6,19.0,0.0,1.6659299971046364,0.675,1.4619964303560544,0.0,1.096497322767041,0.9997859895946124
9840,6,20.0,0.0,1.1987898740484277,0.675,1.1987898740484277,0.0,0.8990924055363207,0.824401190196998
9900,6,21.0,0.0,2.0800753011115063,0.675,2.0800753011115063,0.0,1.5600564758336297,0.9923931524647748
9960,6,22.0,0.0,0.5933057378295533,0.675,0.5933057378295533,0.0,0.44497930337216496,0.9662603671274081
10020,6,23.0,0.0,0.5969404908629071,0.675,0.5969404908629071,0.0,0.4477053681471803,0.8946083074895329
10080,7,0.0,0.0,0.6287353113692941,0.675,0.6287353113692941,0.0,0.4715514835269705,0.7018530498045349
10140,7,1.0,0.0,0.5073897724648384,0.675,0.5073897724648384,0.0,0.3805423293486288,0.8060617472038266
10200,7,2.0,0.0,0.7642157448364775,0.675,0.7642157448364775,0.0,0.5731618086273581,0.9285383307872521
10260,7,3.0,0.0,0.7207937323717111,0.675,0.7207937323717111,0.0,0.5405952992787832,0.8947170640217471
10320,7,4.0,0.0,0.5191895467688237,0.675,0.5191895467688237,0.0,0.38939216007661775,0.7868700197009113
10380,7,5.0,0.0,0.7537345107677027,0.675,0.7537345107677027,0.0,0.5653008830757771,0.5045643494344163
10440,7,6.0,0.0,0.7143278549784404,0.675,0.7143278549784404,0.0,0.5357458912338303,0.7664703449998863
10500,7,7.0,0.08933395839805176,0.5585816048732075,0.675,0.46924764647515577,0.0,0.3519357348563668,0.9309680179349509
10560,7,8.0,1.3664387029905758,0.5445398585035237,1.454721706451883,0.0,0.0,0.0,0.4534245188037696
10620,7,9.0,0.6862146696395744,0.5951979969645915,1.5410677036627698,0.0,0.0,0.0,0.8059091814992682
10680,7,10.0,3.2508318544704626,0.796678976619219,3.869281549742847,0.0,0.0,0.0,0.24925254149250722
10740,7,11.0,0.5952600596266319,0.6440073353117831,3.817897409445106,0.0,0.0,0.0,0.8767482878238124
10800,7,12.0,0.528000990054957,0.6056844191295105,3.736011885335861,0.0,0.0,0.0,0.8943998019890086
10860,7,13.0,2.371512729697516,0.6627899562039014,5.357048641547804,0.0,0.0,0.0,0.5089658718809732
10920,7,14.0,1.8587235291470396,0.7107836079884182,6.446080071916412,0.0,0.0,0.0,0.5707461880391462
10980,7,15.0,0.4527153896582506,0.5146991304315057,6.380743472336101,0.0,0.0,0.0,0.8719527512100563
11040,7,16.0,0.24928227776380196,0.6396331631721589,5.969277510818169,0.0,0.0,0.0,0.9002870888944793
11100,7,17.0,0.1439676847249845,0.5820545322636919,5.507493427089754,0.0,0.0,0.0,0.8887503161384763
11160,7,18.0,5.466313309940117e-16,1.3966963159017027,4.0352462411512775,0.0,0.0,0.0,0.10728328955810332
11220,7,19.0,0.0,2.8472581085162774,1.0339726713865112,0.0,0.0,0.0,0.8097598896747191
11280,7,20.0,0.0,0.9334282357888003,0.675,0.5928768579878416,0.0,0.4446576434908812,0.8885472792523827
11340,7,21.0,0.0,2.8555905350536226,0.675,2.8555905350536226,0.0,2.141692901290217,0.6765475047542866
11400,7,22.0,0.0,0.6106467845776142,0.675,0.6106467845776142,0.0,0.4579850884332107,0.559268643694931
11460,7,23.0,0.0,0.7377764592804718,0.675,0.7377764592804718,0.0,0.5533323444603538,0.8521474427465194
11520,8,0.0,0.0,0.6778270124676642,0.675,0.6778270124676642,0.0,0.5083702593507482,0.7431618855017889
11580,8,1.0,0.0,0.6157553825825991,0.675,0.6157553825825991,0.0,0.46181653693694935,0.5212930516582144
11640,8,2.0,0.0,0.5498639851138383,0.675,0.5498639851138383,0.0,0.4123979888353787,0.7658600518835379
11700,8,3.0,0.0,0.6647354247536575,0.675,0.6647354247536575,0.0,0.4985515685652432,0.34019095235887686
11760,8,4.0,0.0,0.5161040709047181,0.675,0.5161040709047181,0.0,0.3870780531785386,0.9272645945910813
11820,8,5.0,0.0,0.5479374273281941,0.675,0.5479374273281941,0.0,0.41095307049614554,0.7792209233971852
11880,8,6.0,0.0,0.644609911951624,0.675,0.644609911951624,0.0,0.483457433963718,0.38916020749576197
11940,8,7.0,0.4562254698452119,0.5925671518378516,0.675,0.13634168199263969,0.0,0.10225626149447976,0.6474560288525162
12000,8,8.0,0.9914745106771087,0.6468329111791596,1.0019557292571186,0.0,0.0,0.0,0.6034101957291564
12060,8,9.0,0.9743529470117218,0.6373556115875056,1.3216594728615991,0.0,0.0,0.0,0.7244113695595659
12120,8,10.0,1.4768237965047812,0.5805372113818574,2.171951586434447,0.0,0.0,0.0,0.6589421534169277
12180,8,11.0,3.224777147117161,0.707247676782193,4.560289747291188,0.0,0.0,0.0,0.3322930064917641
12240,8,12.0,1.1529013305997104,0.5885305300423793,5.095698899687326,0.0,0.0,0.0,0.7694197338800579
12300,8,13.0,1.3311716603006867,0.6734836778861608,5.719636503932527,0.0,0.0,0.0,0.7243739376107513
12360,8,14.0,0.62788970431587,0.6482314568225644,5.698194414092329,0.0,0.0,0.0,0.8549950840767352
12420,8,15.0,0.268910742454925,0.7390260356499616,5.202649384300939,0.0,0.0,0.0,0.9239405561904853
12480,8,16.0,0.44299629027300563,0.5885186690278637,5.049255328503922,0.0,0.0,0.0,0.8228014838907979
12540,8,17.0,0.9785515565775922,0.5930947269754798,5.414931784866949,0.0,0.0,0.0,0.2438334233170689
12600,8,18.0,2.024155898376525e-17,1.1293805525724216,4.2244601544574865,0.0,0.0,0.0,0.9669430255354308
12660,8,19.0,0.0,2.9767774442168817,1.0866612174107635,0.0,0.0,0.0,0.8800623958777498
12720,8,20.0,0.0,2.5337986443766214,0.675,2.1432625229638886,0.0,1.6074468922229164,0.7921548454358813
12780,8,21.0,0.0,0.7860817948974124,0.675,0.7860817948974124,0.0,0.5895613461730593,0.8017280273654004
12840,8,22.0,0.0,0.5489147517911974,0.675,0.5489147517911974,0.0,0.41168606384339806,0.190402187994928
12900,8,23.0,0.0,0.6355470377991033,0.675,0.6355470377991033,0.0,0.47666027834932745,0.9801383998108695
12960,9,0.0,0.0,0.5282988538835517,0.675,0.5282988538835517,0.0,0.39622414041266374,0.647254362517817
13020,9,1.0,0.0,0.7715400676034592,0.675,0.7715400676034592,0.0,0.5786550507025944,0.8337561669705796
13080,9,2.0,0.0,0.7336191265926364,0.675,0.7336191265926364,0.0,0.5502143449444773,0.4937763859657334
13140,9,3.0,0.0,0.7197502036619093,0.675,0.7197502036619093,0.0,0.539812652746432,0.6977186043131839
13200,9,4.0,0.0,0.521601025161787,0.675,0.521601025161787,0.0,0.39120076887134025,0.23955631842249897
